# Kompic Mk I battery loaded-voltage profile
# Source: 3 discharge run(s), fw=0.4.24, 106 mA assumed
# Voltages are UNDER LOAD, not open-circuit (OCV)
# SoC_pct, vbat_mv
100, 4054
 99, 4048
 98, 4041
 97, 4034
 96, 4028
 95, 4023
 94, 4020
 93, 4016
 92, 4014
 91, 4011
 90, 4009
 89, 4006
 88, 4004
 87, 4003
 86, 4001
 85, 3998
 84, 3996
 83, 3993
 82, 3991
 81, 3987
 80, 3984
 79, 3980
 78, 3976
 77, 3972
 76, 3968
 75, 3963
 74, 3957
 73, 3951
 72, 3944
 71, 3937
 70, 3930
 69, 3924
 68, 3918
 67, 3912
 66, 3907
 65, 3901
 64, 3895
 63, 3890
 62, 3884
 61, 3879
 60, 3875
 59, 3871
 58, 3867
 57, 3863
 56, 3861
 55, 3857
 54, 3854
 53, 3850
 52, 3848
 51, 3844
 50, 3841
 49, 3839
 48, 3835
 47, 3832
 46, 3828
 45, 3824
 44, 3821
 43, 3817
 42, 3813
 41, 3810
 40, 3806
 39, 3802
 38, 3799
 37, 3795
 36, 3789
 35, 3784
 34, 3779
 33, 3772
 32, 3766
 31, 3760
 30, 3754
 29, 3747
 28, 3739
 27, 3730
 26, 3720
 25, 3709
 24, 3697
 23, 3684
 22, 3671
 21, 3657
 20, 3641
 19, 3626
 18, 3610
 17, 3594
 16, 3578
 15, 3563
 14, 3548
 13, 3532
 12, 3516
 11, 3501
 10, 3485
  9, 3468
  8, 3447
  7, 3421
  6, 3386
  5, 3339
  4, 3276
  3, 3194
  2, 3352
  1, 2980
  0, 4150
