Designator,Mid X,Mid Y,Rotation,Layer
AE1,165.48,-91.06,0.0,bottom
AE3,141.33,-88.46,180.0,top
BT1,152.63,-121.96,180.0,bottom
BT2,145.43,-94.905001,90.0,bottom
C1,149.912501,-88.46,180.0,top
C10,138.33,-106.76,270.0,top
C11,140.9225,-111.06,0.0,top
C13,140.9225,-109.794999,0.0,top
C14,135.53,-106.66,90.0,top
C15,136.73,-107.26,90.0,top
C16,167.8625,-118.66,180.0,top
C17,152.83,-91.96,90.0,top
C18,156.93,-74.16,0.0,top
C19,162.705,-102.86,180.0,top
C2,145.73,-95.16,180.0,top
C20,166.6625,-103.06,0.0,top
C21,170.2625,-118.66,180.0,top
C22,170.03,-113.26,0.0,top
C23,167.33,-92.36,90.0,top
C24,168.03,-94.26,180.0,top
C25,162.93,-111.06,270.0,top
C26,168.93,-111.66,0.0,top
C27,167.4975,-109.16,0.0,top
C28,167.4975,-110.36,0.0,top
C29,172.83,-104.06,90.0,top
C3,166.83,-104.86,90.0,top
C30,173.43,-102.36,180.0,top
C31,172.13,-108.9925,90.0,top
C32,163.23,-120.5625,270.0,top
C33,157.93,-89.46,0.0,top
C34,168.03,-108.06,180.0,top
C35,154.6975,-76.66,180.0,top
C36,170.93,-110.0925,90.0,top
C37,154.6975,-77.86,180.0,top
C38,154.6975,-79.16,180.0,top
C39,156.93,-80.56,0.0,top
C4,140.93,-115.46125,0.0,top
C40,144.93,-101.21,90.0,top
C41,167.73,-113.06,180.0,top
C42,163.33,-116.85,0.0,top
C43,137.73,-98.46,90.0,top
C44,173.33,-92.36,90.0,top
C45,170.93,-92.36,90.0,top
C5,162.43,-104.86,270.0,top
C6,136.33,-117.36125,0.0,top
C7,134.23,-107.9225,270.0,top
C8,168.63,-102.325,270.0,top
C9,140.93,-112.325001,0.0,top
CARD1,141.08,-109.76,0.0,bottom
CN1,171.63,-96.16,0.0,top
CN2,160.395,-79.16,180.0,bottom
D1,145.43,-98.530001,180.0,top
D2,148.13,-98.16,270.0,top
D3,148.13,-94.66,270.0,top
D4,137.03,-104.530001,0.0,top
D5,159.33,-76.96,270.0,top
D6,173.93,-94.26,180.0,top
J1,141.144645,-97.86,0.0,top
J2,155.83,-88.96,0.0,bottom
J3,155.829999,-87.035,0.0,top
JP1,137.93,-110.46,0.0,bottom
JP11,151.23,-79.66,270.0,bottom
JP12,170.93,-113.66,90.0,bottom
JP13,151.23,-78.96,270.0,top
JP2,157.26,-95.26,270.0,bottom
JP3,161.095,-95.26,270.0,bottom
JP4,164.93,-95.26,270.0,bottom
JP7,160.8875,-112.06,270.0,bottom
L1,148.83,-89.66,0.0,top
L2,147.812501,-88.46,180.0,top
L3,140.23,-106.56,270.0,top
L4,168.53,-92.36,270.0,top
L5,135.73,-115.46125,180.0,top
LED1,165.2325,-121.16,90.0,top
LED2,175.63,-113.06,270.0,top
M1,175.43,-113.76,90.0,bottom
R1,146.83,-101.2625,90.0,top
R10,134.23,-105.66,270.0,top
R12,170.83,-102.3575,90.0,top
R13,169.73,-102.3575,270.0,top
R14,163.2325,-108.16,0.0,top
R15,140.93,-117.46,270.0,top
R16,156.93,-75.36,0.0,top
R17,168.83,-106.06,180.0,top
R18,171.53,-117.66,0.0,top
R19,166.43,-114.76,270.0,top
R2,148.63,-101.2625,90.0,top
R20,168.83,-104.86,0.0,top
R21,134.23,-103.230001,270.0,top
R22,163.272499,-113.26,180.0,top
R23,165.23,-119.0625,180.0,top
R24,173.73,-116.21,270.0,top
R25,172.23,-114.56,0.0,top
R26,172.7325,-110.66,0.0,top
R27,150.43,-101.2625,90.0,top
R28,152.23,-101.265,90.0,top
R29,154.5975,-80.560001,0.0,top
R3,141.03,-103.66,180.0,top
R30,154.03,-101.2625,90.0,top
R31,138.73,-102.76,270.0,top
R32,172.03,-115.76,180.0,top
R33,163.3275,-118.06,0.0,top
R35,172.23,-92.36,90.0,top
R36,169.83,-92.36,90.0,top
R4,155.83,-101.2625,270.0,top
R5,141.0275,-102.459999,180.0,top
R6,163.33,-115.76,180.0,top
R7,163.33,-114.56,180.0,top
R8,145.73,-96.36,0.0,top
R9,145.7325,-93.86,0.0,top
SW1,168.475,-98.56,90.0,top
SW2,172.892455,-98.457973,270.0,top
TH1,165.732501,-108.16,0.0,top
TP1,152.03,-88.76,270.0,top
TP10,146.93,-121.86,180.0,bottom
TP11,144.13,-121.86,180.0,bottom
TP13,149.23,-91.16,135.0,top
TP14,153.93,-93.46,0.0,bottom
TP15,132.83,-111.66,0.0,top
TP17,150.43,-105.46,0.0,bottom
TP18,163.23,-112.76,0.0,bottom
TP19,165.93,-110.96,0.0,bottom
TP2,132.83,-110.06,270.0,top
TP20,167.03,-112.76,0.0,bottom
TP21,165.13,-99.56,0.0,bottom
TP22,149.93,-100.26,270.0,bottom
TP23,133.13,-114.26,0.0,top
TP3,151.83,-74.96,135.0,top
TP8,163.2325,-121.8125,0.0,bottom
U1,152.03,-112.29,180.0,top
U10,174.63,-108.86,270.0,top
U11,154.93,-89.46,0.0,top
U12,173.0225,-112.585,90.0,top
U13,155.83,-80.36,180.0,bottom
U14,175.63,-107.41,180.0,bottom
U15,155.83,-74.76,180.0,bottom
U16,138.93,-117.76,0.0,top
U2,164.63,-104.86,90.0,top
U4,136.53,-111.26,0.0,top
U5,168.63,-115.96,270.0,top
U6,161.63,-96.36,90.0,top
U7,165.03,-111.26,180.0,top
U8,135.51,-100.130001,180.0,top
U9,175.13,-105.46,90.0,top
USB1,138.26,-97.96,90.0,bottom
X1,135.53,-95.530001,90.0,top
