Comment,Designator,Footprint,LCSC Part #
1.0pF,C1,0402,
100nF,"C10, C16, C19, C20, C25, C26, C28, C29, C30, C31, C32, C33, C38, C39, C40, C41, C42, C43, C44, C45, C8",0402,
10uF,"C11, C13, C14, C2, C3, C5, C6, C9",0402,
1uF,"C15, C34, C36, C37, C7",0402,
100pF,"C18, C21",0402,
4.7uF,"C22, C27, C35, C4",0402,
1N4148WS,"D2, D3, D4",D_SOD-323,
10k,"R1, R10, R13, R14, R17, R2, R20, R24, R27, R28, R30, R31, R33, R35, R36, R4",0402,
5k1,"R12, R19, R21, R22, R29, R3, R5, R6, R7, R8, R9",0402,
100k,R15,0402,
470R,"R16, R18",0402,
47R,"R23, R25, R26, R32",0402,
NTC 10k,TH1,0402,C77131
TPS62840DLCR,U16,VSON-8_L2.0-W1.5-P0.50-BL,C2071859
