Designator,Mid X,Mid Y,Rotation,Layer
AE1,165.48,-91.06,0.0,bottom
AE3,141.33,-88.46,180.0,top
BT1,152.63,-121.96,180.0,bottom
BT2,145.43,-94.905001,90.0,bottom
C1,149.912501,-88.46,180.0,top
C10,138.2,-107.0,270.0,top
C11,140.9225,-111.06,0.0,top
C13,140.9225,-109.794999,0.0,top
C14,135.53,-106.66,90.0,top
C15,136.6,-107.26,90.0,top
C16,167.8625,-118.66,0.0,top
C17,152.83,-91.96,90.0,top
C19,162.4,-102.8,180.0,top
C2,145.73,-95.16,0.0,top
C20,167.9,-105.7325,90.0,top
C22,170.03,-113.1,0.0,top
C23,167.33,-92.36,90.0,top
C24,168.03,-94.26,0.0,top
C25,162.93,-111.06,270.0,top
C26,137.8,-119.0,180.0,top
C27,167.4975,-109.16,0.0,top
C28,167.4975,-110.36,0.0,top
C29,172.83,-104.06,90.0,top
C3,166.83,-105.7325,90.0,top
C30,173.43,-102.36,180.0,top
C31,172.0,-108.9925,90.0,top
C32,163.23,-120.5625,270.0,top
C33,157.93,-89.46,0.0,top
C34,168.0,-108.0,180.0,top
C35,154.6975,-76.66,180.0,top
C36,172.0,-111.3,270.0,top
C37,154.6975,-77.86,180.0,top
C38,154.6975,-79.16,180.0,top
C39,156.93,-80.56,0.0,top
C4,140.93,-114.8,0.0,top
C40,144.93,-101.21,90.0,top
C41,167.73,-113.1,180.0,top
C42,163.33,-116.85,0.0,top
C43,137.7,-99.0,90.0,top
C44,167.3,-99.7675,270.0,top
C45,168.4,-99.7675,270.0,top
C46,170.9,-109.0,90.0,top
C47,145.9,-101.2,90.0,top
C5,162.43,-104.86,270.0,top
C6,136.33,-117.36125,0.0,top
C7,134.23,-107.9225,270.0,top
C8,170.3,-102.7,270.0,top
C9,140.93,-112.325001,0.0,top
CARD1,141.08,-109.76,0.0,bottom
D1,145.8,-98.530001,180.0,top
D2,148.13,-98.16,270.0,top
D3,148.13,-94.66,270.0,top
D4,136.6,-104.4,0.0,top
J1,140.35,-97.75,0.0,top
J2,155.83,-88.96,0.0,bottom
J3,155.829999,-87.035,0.0,top
JP1,137.93,-110.46,0.0,bottom
JP11,151.5,-79.7,270.0,bottom
JP12,170.93,-113.66,90.0,bottom
JP2,157.26,-95.26,270.0,bottom
JP3,161.095,-95.26,270.0,bottom
JP4,164.93,-95.26,270.0,bottom
JP7,160.6,-112.7,90.0,bottom
L1,148.83,-89.66,0.0,top
L2,147.812501,-88.46,180.0,top
L3,140.3,-106.5,270.0,top
L4,168.53,-92.36,270.0,top
L5,135.73,-115.46125,180.0,top
LED1,165.2325,-121.16,90.0,top
LED2,175.6,-113.049999,270.0,top
M1,175.35,-114.0,90.0,bottom
R1,146.83,-101.2625,90.0,top
R10,134.23,-105.66,270.0,top
R13,171.4,-102.7325,270.0,top
R14,163.1,-108.16,0.0,top
R15,141.5,-116.6,270.0,top
R17,165.6,-102.9,180.0,top
R19,166.43,-114.76,270.0,top
R2,148.63,-101.2625,90.0,top
R20,169.6,-104.86,0.0,top
R21,134.23,-103.230001,270.0,top
R22,163.272499,-113.26,180.0,top
R23,165.23,-119.0625,180.0,top
R24,173.73,-116.21,270.0,top
R25,173.6,-110.9,0.0,top
R26,163.1,-107.1,180.0,top
R27,150.43,-101.2625,90.0,top
R28,152.23,-101.265,90.0,top
R29,154.5975,-80.560001,0.0,top
R3,141.03,-103.66,180.0,top
R30,154.03,-101.2625,90.0,top
R31,138.73,-102.76,270.0,top
R32,173.6,-112.2,180.0,top
R33,163.3275,-118.06,0.0,top
R34,144.0,-98.5,90.0,top
R35,167.3,-97.4325,90.0,top
R36,168.4,-97.4325,90.0,top
R4,155.83,-101.2625,270.0,top
R5,141.0275,-102.459999,180.0,top
R6,163.33,-115.76,180.0,top
R7,163.33,-114.56,180.0,top
R8,145.73,-96.36,0.0,top
R9,145.7325,-93.86,0.0,top
SW1,170.48,-98.6,90.0,top
SW2,172.5,-98.4,270.0,top
TH1,165.732501,-108.0,0.0,top
TP1,152.03,-88.76,270.0,top
TP10,150.2,-77.8,90.0,top
TP11,150.2,-80.4,90.0,top
TP13,149.23,-91.16,135.0,top
TP14,153.93,-93.46,0.0,bottom
TP15,132.83,-111.66,0.0,top
TP17,150.43,-105.46,0.0,bottom
TP18,163.94,-112.78,0.0,bottom
TP19,165.93,-110.96,0.0,bottom
TP2,132.83,-110.06,270.0,top
TP20,167.75,-112.85,0.0,bottom
TP21,165.13,-99.56,0.0,bottom
TP22,141.9,-97.1,0.0,bottom
TP23,142.1,-99.1,0.0,bottom
TP3,151.83,-74.96,135.0,top
TP8,163.2325,-121.8125,0.0,bottom
U1,152.03,-112.29,180.0,top
U10,174.63,-108.86,270.0,top
U11,154.93,-89.46,0.0,top
U12,173.099999,-114.05,270.0,top
U13,155.83,-80.36,180.0,bottom
U14,175.63,-107.41,180.0,bottom
U15,155.83,-74.76,180.0,bottom
U16,139.815001,-116.7,0.0,top
U2,164.8,-105.4,270.0,top
U3,140.6,-119.2,270.0,top
U4,136.53,-111.26,0.0,top
U5,168.63,-115.96,270.0,top
U6,161.63,-96.36,90.0,top
U7,165.03,-111.26,180.0,top
U8,135.51,-100.130001,180.0,top
U9,175.13,-105.46,90.0,top
USB1,138.26,-97.96,90.0,bottom
X1,134.69,-96.09911,90.0,top
